update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,Games,Strat,return_mean,return_std,return_min,return_max
468,2396160,1641.1279093751186,1491,0.028852538764476778,0.08969616869011783,0.0,0.41499999165534973,1.9449188888072968,-0.0018711455715674675,-0.0006255613327084575,1.3949885408237606e-05,0.00087806274,1,0.0,0.028852538764476778,0.08969616869011783,0.0,0.41499999165534973
469,2401280,1657.0047684292163,1494,0.028852538764476778,0.08969616869011783,0.0,0.41499999165534973,1.9456954658031465,-0.0021804726915434004,-0.0007595079230668488,1.7060345044228598e-05,0.0007534076,0,0.0,0.028852538764476778,0.08969616869011783,0.0,0.41499999165534973
470,2406400,1628.765613799781,1497,0.028852538764476778,0.08969616869011783,0.0,0.41499999165534973,1.9455248355865478,4.0461906610289586e-05,-0.00014553794208040926,9.68961056742046e-06,0.0005468674,0,0.0,0.028852538764476778,0.08969616869011783,0.0,0.41499999165534973
471,2411520,1638.009093288894,1500,0.03349707014858723,0.09283687216522224,0.0,0.41499999165534973,1.9445125102996825,0.003009715769439936,-4.1455407426838065e-05,2.3780840433573757e-05,0.0008758193,4,0.0,0.03349707014858723,0.09283687216522224,0.0,0.41499999165534973
472,2416640,1641.246436614771,1503,0.04724707044661045,0.12276381064466745,0.0,0.550000011920929,1.9435149013996125,0.0036539035208988935,-0.0014406669208256063,0.00018010625660735968,0.0018402844,2,0.0,0.04724707044661045,0.12276381064466745,0.0,0.550000011920929
473,2421760,1644.3606064708438,1506,0.04724707044661045,0.12276381064466745,0.0,0.550000011920929,1.9453042685985564,0.004815315478481352,0.0008963940805188031,2.7874252259607603e-05,0.0014799868,2,0.0,0.04724707044661045,0.12276381064466745,0.0,0.550000011920929
474,2426880,1632.566221305292,1509,0.04724707044661045,0.12276381064466745,0.0,0.550000011920929,1.9457221269607543,0.004988060379400849,0.0007178095882409252,3.260422175799249e-06,0.00037404793,1,0.0,0.04724707044661045,0.12276381064466745,0.0,0.550000011920929
475,2432000,1637.3997360468652,1512,0.04724707044661045,0.12276381064466745,0.0,0.550000011920929,1.9457722902297974,0.0037718260660767554,0.0007635474452399649,4.7211365370003476e-06,0.0004462003,3,0.0,0.04724707044661045,0.12276381064466745,0.0,0.550000011920929
476,2437120,1652.475009347424,1516,0.036872070655226706,0.10787986118147444,0.0,0.550000011920929,1.9457537710666657,0.003477424627635628,0.0006007703399518505,2.8973582004709897e-06,0.00029817063,2,0.0,0.036872070655226706,0.10787986118147444,0.0,0.550000011920929
477,2442240,1633.6915700720945,1519,0.0615507822483778,0.1549610455350913,0.0,0.7226172089576721,1.9383734703063964,0.0076079847407527264,-0.002306265244988026,0.00038497395944432357,0.0041391104,5,0.0,0.0615507822483778,0.1549610455350913,0.0,0.7226172089576721
478,2447360,1622.7764189256995,1522,0.0615507822483778,0.15496104553509127,0.0,0.7226172089576721,1.9454249143600464,-0.0071669658180326225,-0.0011083914156188256,1.5637311207683524e-05,0.0009922213,1,0.0,0.0615507822483778,0.15496104553509127,0.0,0.7226172089576721
